ETF,Sharp-Omega,S_Rank,ASKSR-Value,A_Rank,Riskiness,R_Rank
FPA,0.908515,29,28.1090246,25,-,-
FPXI,1.227656,3,24.74757981,27,-,-
IQDE,1.032982,23,39.85869959,9,-,-
IQDY,1.107187,16,32.4097691,20,0.000341737,12
CHIQ,1.157367,11,33.90015122,17,0.00156632,18
GEM,1.195171,5,32.18097678,21,0.000190311,7
ADRA,1.037718,22,36.83762474,13,-,-
PAF,1.028545,24,28.69464283,24,0.00217737,19
IEMG,1.202105,4,39.06803153,10,0.000228382,9
HEEM,1.057868,21,33.12356553,19,-,-
AXJV,0.949393,28,17.10552934,29,0.546407,20
EMGF,1.171963,7,27.34601678,26,0.000516201,15
ACWX,1.144497,13,37.63009317,12,4.50014E-05,5
AAXJ,1.167515,8,34.56840976,16,0.00038934,13
EEMA,1.162804,10,35.80030982,15,0.000572441,16
AIA,1.192318,6,33.41809882,18,0.000244913,11
IPOS,1.091952,19,40.20279081,7,0.000622055,17
CWI,1.142671,14,40.08630201,8,4.21344E-05,4
QEMM,1.167366,9,58.75049091,2,0.000193951,8
MOTI,1.265989,2,68.51424483,1,1.60369E-06,1
REMX,1.01355,26,21.82142093,28,-,-
VEU,1.145684,12,36.55234455,14,4.11961E-05,3
VXUS,1.140072,15,38.4912342,11,5.49754E-05,6
AXJL,1.016862,25,47.56574373,4,-,-
EMCG,1.103721,17,31.54705211,22,-,-
XSOE,1.327659,1,29.66511586,23,2.23833E-06,2
DNL,1.097952,18,57.13268259,3,-,-
IHDG,1.08365,20,43.39231286,6,0.000429094,14
DBAP,1.012345,27,45.07861144,5,0.000243047,10
